datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,ncount,workingday_clean,3day_sum,trend,ratio
2011-01-01 00:00:00,1.0,0.0,0.0,1.0,9.84,14.395,81.0,0.0,3.0,13.0,16.0,0.0006771770183049412,0.0,,,
2011-01-01 01:00:00,1.0,0.0,0.0,1.0,9.02,13.635,80.0,0.0,8.0,32.0,40.0,0.0016929425457623533,0.0,,,
2011-01-01 02:00:00,1.0,0.0,0.0,1.0,9.02,13.635,80.0,0.0,5.0,27.0,32.0,0.0013543540366098823,0.0,,,
2011-01-01 03:00:00,1.0,0.0,0.0,1.0,9.84,14.395,75.0,0.0,3.0,10.0,13.0,0.0005502063273727649,0.0,,,
2011-01-01 04:00:00,1.0,0.0,0.0,1.0,9.84,14.395,75.0,0.0,0.0,1.0,1.0,4.232356364405883e-05,0.0,,,
2011-01-01 05:00:00,1.0,0.0,0.0,2.0,9.84,12.88,75.0,6.0032,0.0,1.0,1.0,4.232356364405883e-05,0.0,,,
2011-01-01 06:00:00,1.0,0.0,0.0,1.0,9.02,13.635,80.0,0.0,2.0,0.0,2.0,8.464712728811766e-05,0.0,,,
2011-01-01 07:00:00,1.0,0.0,0.0,1.0,8.2,12.88,86.0,0.0,1.0,2.0,3.0,0.0001269706909321765,0.0,,,
2011-01-01 08:00:00,1.0,0.0,0.0,1.0,9.84,14.395,75.0,0.0,1.0,7.0,8.0,0.00033858850915247064,0.0,,,
2011-01-01 09:00:00,1.0,0.0,0.0,1.0,13.12,17.425,76.0,0.0,8.0,6.0,14.0,0.0005925298910168236,0.0,,,
2011-01-01 10:00:00,1.0,0.0,0.0,1.0,15.58,19.695,76.0,16.9979,12.0,24.0,36.0,0.0015236482911861178,0.0,,,
2011-01-01 11:00:00,1.0,0.0,0.0,1.0,14.76,16.665,81.0,19.0012,26.0,30.0,56.0,0.0023701195640672946,0.0,,,
2011-01-01 12:00:00,1.0,0.0,0.0,1.0,17.22,21.21,77.0,19.0012,29.0,55.0,84.0,0.003555179346100941,0.0,,,
2011-01-01 13:00:00,1.0,0.0,0.0,2.0,18.86,22.725,72.0,19.9995,47.0,47.0,94.0,0.0039784149825415295,0.0,,,
2011-01-01 14:00:00,1.0,0.0,0.0,2.0,18.86,22.725,72.0,19.0012,35.0,71.0,106.0,0.004486297746270236,0.0,,,
2011-01-01 15:00:00,1.0,0.0,0.0,2.0,18.04,21.97,77.0,19.9995,40.0,70.0,110.0,0.004655592000846471,0.0,,,
2011-01-01 16:00:00,1.0,0.0,0.0,2.0,17.22,21.21,82.0,19.9995,41.0,52.0,93.0,0.0039360914188974715,0.0,,,
2011-01-01 17:00:00,1.0,0.0,0.0,2.0,18.04,21.97,82.0,19.0012,15.0,52.0,67.0,0.0028356787641519413,0.0,,,
2011-01-01 18:00:00,1.0,0.0,0.0,3.0,17.22,21.21,88.0,16.9979,9.0,26.0,35.0,0.001481324727542059,0.0,,,
2011-01-01 19:00:00,1.0,0.0,0.0,3.0,17.22,21.21,88.0,16.9979,6.0,31.0,37.0,0.0015659718548301767,0.0,,,
2011-01-01 20:00:00,1.0,0.0,0.0,2.0,16.4,20.455,87.0,16.9979,11.0,25.0,36.0,0.0015236482911861178,0.0,,,
2011-01-01 21:00:00,1.0,0.0,0.0,2.0,16.4,20.455,87.0,12.998,3.0,31.0,34.0,0.0014390011638980005,0.0,,,
2011-01-01 22:00:00,1.0,0.0,0.0,2.0,16.4,20.455,94.0,15.0013,11.0,17.0,28.0,0.0011850597820336473,0.0,,,
2011-01-01 23:00:00,1.0,0.0,0.0,2.0,18.86,22.725,88.0,19.9995,15.0,24.0,39.0,0.0016506189821182944,0.0,,,
2011-01-02 00:00:00,1.0,0.0,0.0,2.0,18.86,22.725,88.0,19.9995,4.0,13.0,17.0,0.0007195005819490001,0.0,,,
2011-01-02 01:00:00,1.0,0.0,0.0,2.0,18.04,21.97,94.0,16.9979,1.0,16.0,17.0,0.0007195005819490001,0.0,,,
2011-01-02 02:00:00,1.0,0.0,0.0,2.0,17.22,21.21,100.0,19.0012,1.0,8.0,9.0,0.00038091207279652956,0.0,,,
2011-01-02 03:00:00,1.0,0.0,0.0,2.0,18.86,22.725,94.0,12.998,2.0,4.0,6.0,0.000253941381864353,0.0,,,
2011-01-02 04:00:00,1.0,0.0,0.0,2.0,18.86,22.725,94.0,12.998,2.0,1.0,3.0,0.0001269706909321765,0.0,,,
2011-01-02 05:00:00,,,,,,,,,,,2.5,0.00010580890911014708,0.0,,,
2011-01-02 06:00:00,1.0,0.0,0.0,3.0,17.22,21.21,77.0,19.9995,0.0,2.0,2.0,8.464712728811766e-05,0.0,,,
2011-01-02 07:00:00,1.0,0.0,0.0,2.0,16.4,20.455,76.0,12.998,0.0,1.0,1.0,4.232356364405883e-05,0.0,,,
2011-01-02 08:00:00,1.0,0.0,0.0,3.0,16.4,20.455,71.0,15.0013,0.0,8.0,8.0,0.00033858850915247064,0.0,,,
2011-01-02 09:00:00,1.0,0.0,0.0,2.0,15.58,19.695,76.0,15.0013,1.0,19.0,20.0,0.0008464712728811766,0.0,,,
2011-01-02 10:00:00,1.0,0.0,0.0,2.0,14.76,17.425,81.0,15.0013,7.0,46.0,53.0,0.002243148873135118,0.0,,,
2011-01-02 11:00:00,1.0,0.0,0.0,2.0,14.76,16.665,71.0,16.9979,16.0,54.0,70.0,0.002962649455084118,0.0,,,
2011-01-02 12:00:00,1.0,0.0,0.0,2.0,14.76,16.665,66.0,19.9995,20.0,73.0,93.0,0.0039360914188974715,0.0,,,
2011-01-02 13:00:00,1.0,0.0,0.0,2.0,14.76,17.425,66.0,8.9981,11.0,64.0,75.0,0.0031742672733044122,0.0,,,
2011-01-02 14:00:00,1.0,0.0,0.0,3.0,14.76,17.425,76.0,12.998,4.0,55.0,59.0,0.002497090254999471,0.0,,,
2011-01-02 15:00:00,1.0,0.0,0.0,3.0,13.94,16.665,81.0,11.0014,19.0,55.0,74.0,0.003131943709660353,0.0,,,
2011-01-02 16:00:00,1.0,0.0,0.0,3.0,13.94,16.665,71.0,11.0014,9.0,67.0,76.0,0.003216590836948471,0.0,,,
2011-01-02 17:00:00,1.0,0.0,0.0,1.0,13.94,16.665,57.0,12.998,7.0,58.0,65.0,0.002751031636863824,0.0,,,
2011-01-02 18:00:00,1.0,0.0,0.0,2.0,14.76,16.665,46.0,22.0028,10.0,43.0,53.0,0.002243148873135118,0.0,,,
2011-01-02 19:00:00,1.0,0.0,0.0,1.0,13.12,14.395,42.0,30.0026,1.0,29.0,30.0,0.0012697069093217648,0.0,,,
2011-01-02 20:00:00,1.0,0.0,0.0,1.0,12.3,13.635,39.0,23.9994,5.0,17.0,22.0,0.0009311184001692944,0.0,,,
