datetime,atemp,casual,count,data_set,holiday,humidity,registered,season,temp,weather,windspeed,workingday,workingday_clean,count_gp,log_count,log_count_gp
2011-01-01 00:00:00,14.395,3.0,16.0,0,0.0,81.0,13.0,1.0,9.84,1.0,0.0,0.0,0.0,26.786501638387396,2.833213344056216,3.324550350201774
2011-01-01 01:00:00,13.635,8.0,40.0,0,0.0,80.0,32.0,1.0,9.02,1.0,0.0,0.0,0.0,20.694113294241063,3.713572066704308,3.0770409469811324
2011-01-01 02:00:00,13.635,5.0,32.0,0,0.0,80.0,27.0,1.0,9.02,1.0,0.0,0.0,0.0,15.612695461935473,3.4965075614664802,2.8101671899256293
2011-01-01 03:00:00,14.395,3.0,13.0,0,0.0,75.0,10.0,1.0,9.84,1.0,0.0,0.0,0.0,7.477317187690425,2.6390573296152584,2.137394030372334
2011-01-01 04:00:00,14.395,0.0,1.0,0,0.0,75.0,1.0,1.0,9.84,1.0,0.0,0.0,0.0,2.4651715170071586,0.6931471805599453,1.242762131274555
2011-01-01 05:00:00,12.88,0.0,1.0,0,0.0,75.0,1.0,1.0,9.84,2.0,6.0032,0.0,0.0,2.4876552128257736,0.6931471805599453,1.2492296516269008
2011-01-01 06:00:00,13.635,2.0,2.0,0,0.0,80.0,0.0,1.0,9.02,1.0,0.0,0.0,0.0,5.0469439955103,1.0986122886681098,1.7995530197152456
2011-01-01 07:00:00,12.88,1.0,3.0,0,0.0,86.0,2.0,1.0,8.2,1.0,0.0,0.0,0.0,11.936576735715878,1.3862943611198906,2.5600587050561705
2011-01-01 08:00:00,14.395,1.0,8.0,0,0.0,75.0,7.0,1.0,9.84,1.0,0.0,0.0,0.0,29.204892334561602,2.1972245773362196,3.4080039090937575
2011-01-01 09:00:00,17.425,8.0,14.0,0,0.0,76.0,6.0,1.0,13.12,1.0,0.0,0.0,0.0,48.20983114868623,2.70805020110221,3.8960934236321347
2011-01-01 10:00:00,19.695,12.0,36.0,0,0.0,76.0,24.0,1.0,15.58,1.0,16.9979,0.0,0.0,73.77925888860989,3.6109179126442243,4.314540558943691
2011-01-01 11:00:00,16.665,26.0,56.0,0,0.0,81.0,30.0,1.0,14.76,1.0,19.0012,0.0,0.0,91.43383318996291,4.04305126783455,4.526493071691935
2011-01-01 12:00:00,21.21,29.0,84.0,0,0.0,77.0,55.0,1.0,17.22,1.0,19.0012,0.0,0.0,107.80849752839028,4.442651256490317,4.689589433655017
2011-01-01 13:00:00,22.725,47.0,94.0,0,0.0,72.0,47.0,1.0,18.86,2.0,19.9995,0.0,0.0,110.85755150034467,4.553876891600541,4.717226200188603
2011-01-01 14:00:00,22.725,35.0,106.0,0,0.0,72.0,71.0,1.0,18.86,2.0,19.0012,0.0,0.0,108.64421294213969,4.672828834461906,4.697240695925648
2011-01-01 15:00:00,21.97,40.0,110.0,0,0.0,77.0,70.0,1.0,18.04,2.0,19.9995,0.0,0.0,108.06647903162285,4.709530201312334,4.6919575956887964
2011-01-01 16:00:00,21.21,41.0,93.0,0,0.0,82.0,52.0,1.0,17.22,2.0,19.9995,0.0,0.0,105.19441556633657,4.543294782270004,4.665271523304121
2011-01-01 17:00:00,21.97,15.0,67.0,0,0.0,82.0,52.0,1.0,18.04,2.0,19.0012,0.0,0.0,94.70246765140257,4.219507705176107,4.561244083407588
2011-01-01 18:00:00,21.21,9.0,35.0,0,0.0,88.0,26.0,1.0,17.22,3.0,16.9979,0.0,0.0,80.6443700327477,3.58351893845611,4.402372864592699
2011-01-01 19:00:00,21.21,6.0,37.0,0,0.0,88.0,31.0,1.0,17.22,3.0,16.9979,0.0,0.0,65.90426652233958,3.6375861597263857,4.203262739724578
2011-01-01 20:00:00,20.455,11.0,36.0,0,0.0,87.0,25.0,1.0,16.4,2.0,16.9979,0.0,0.0,50.143851169876335,3.6109179126442243,3.934642273439003
2011-01-01 21:00:00,20.455,3.0,34.0,0,0.0,87.0,31.0,1.0,16.4,2.0,12.998,0.0,0.0,40.83322745848158,3.5553480614894135,3.733690939027576
2011-01-01 22:00:00,20.455,11.0,28.0,0,0.0,94.0,17.0,1.0,16.4,2.0,15.0013,0.0,0.0,34.0379710584016,3.367295829986474,3.556432360807284
2011-01-01 23:00:00,22.725,15.0,39.0,0,0.0,88.0,24.0,1.0,18.86,2.0,19.9995,0.0,0.0,25.305307480634145,3.6888794541139363,3.2697707241710647
2011-01-02 00:00:00,22.725,4.0,17.0,0,0.0,88.0,13.0,1.0,18.86,2.0,19.9995,0.0,0.0,26.81972563210649,2.8903717578961645,3.3257453241931234
2011-01-02 01:00:00,21.97,1.0,17.0,0,0.0,94.0,16.0,1.0,18.04,2.0,16.9979,0.0,0.0,20.719780740456763,2.8903717578961645,3.078223400192349
2011-01-02 02:00:00,21.21,1.0,9.0,0,0.0,100.0,8.0,1.0,17.22,2.0,19.0012,0.0,0.0,15.632060293631975,2.302585092994046,2.8113321757073884
2011-01-02 03:00:00,22.725,2.0,6.0,0,0.0,94.0,4.0,1.0,18.86,2.0,12.998,0.0,0.0,7.486591498409802,1.9459101490553132,2.138487447203913
2011-01-02 04:00:00,22.725,2.0,3.0,0,0.0,94.0,1.0,1.0,18.86,2.0,12.998,0.0,0.0,2.4682291332686326,1.3862943611198906,1.243644127459087
2011-01-02 05:00:00,,,2.5,0,,,,,,,,,0.0,2.4907407161991495,1.252762968495368,1.2501139532933088
2011-01-02 06:00:00,21.21,0.0,2.0,0,0.0,77.0,2.0,1.0,17.22,3.0,19.9995,0.0,0.0,5.053203851234317,1.0986122886681098,1.8005876940616683
2011-01-02 07:00:00,20.455,0.0,1.0,0,0.0,76.0,1.0,1.0,16.4,2.0,12.998,0.0,0.0,11.951381981874881,0.6931471805599453,2.561202499198815
2011-01-02 08:00:00,20.455,0.0,8.0,0,0.0,71.0,8.0,1.0,16.4,3.0,15.0013,0.0,0.0,29.241115921075032,2.1972245773362196,3.4092024527824165
2011-01-02 09:00:00,19.695,1.0,20.0,0,0.0,76.0,19.0,1.0,15.58,2.0,15.0013,0.0,0.0,48.26962705443403,3.044522437723423,3.8973078071023
2011-01-02 10:00:00,17.425,7.0,53.0,0,0.0,81.0,46.0,1.0,14.76,2.0,15.0013,0.0,0.0,73.87076921970895,3.9889840465642745,4.315763550260992
2011-01-02 11:00:00,16.665,16.0,70.0,0,0.0,71.0,54.0,1.0,14.76,2.0,16.9979,0.0,0.0,91.54724094811759,4.2626798770413155,4.527719227101528
2011-01-02 12:00:00,16.665,20.0,93.0,0,0.0,66.0,73.0,1.0,14.76,2.0,19.9995,0.0,0.0,107.94221520802989,4.543294782270004,4.690817605951379
2011-01-02 13:00:00,17.425,11.0,75.0,0,0.0,66.0,64.0,1.0,14.76,2.0,8.9981,0.0,0.0,110.99505100082006,4.330733340286331,4.7184546828261205
2011-01-02 14:00:00,17.425,4.0,59.0,0,0.0,76.0,55.0,1.0,14.76,3.0,12.998,0.0,0.0,108.77896718131338,4.0943445622221,4.698468955000545
2011-01-02 15:00:00,16.665,19.0,74.0,0,0.0,81.0,55.0,1.0,13.94,3.0,11.0014,0.0,0.0,108.2005166924216,4.31748811353631,4.693185794915193
2011-01-02 16:00:00,16.665,9.0,76.0,0,0.0,71.0,67.0,1.0,13.94,3.0,11.0014,0.0,0.0,105.32489093222202,4.343805421853684,4.666499415342999
2011-01-02 17:00:00,16.665,7.0,65.0,0,0.0,57.0,58.0,1.0,13.94,1.0,12.998,0.0,0.0,94.81992958177739,4.189654742026425,4.562470696553614
2011-01-02 18:00:00,16.665,10.0,53.0,0,0.0,46.0,43.0,1.0,14.76,2.0,22.0028,0.0,0.0,80.74439533950924,3.9889840465642745,4.403597248889006
2011-01-02 19:00:00,14.395,1.0,30.0,0,0.0,42.0,29.0,1.0,13.12,1.0,30.0026,0.0,0.0,65.9860092958663,3.4339872044851463,4.204483781106162
2011-01-02 20:00:00,13.635,5.0,22.0,0,0.0,39.0,17.0,1.0,12.3,1.0,23.9994,0.0,0.0,50.206045890889534,3.1354942159291497,3.9358576088805544
2011-01-02 21:00:00,11.365,11.0,31.0,0,0.0,44.0,20.0,1.0,10.66,1.0,22.0028,0.0,0.0,40.88387397107682,3.4657359027997265,3.734900883421472
2011-01-02 22:00:00,10.605,0.0,9.0,0,0.0,44.0,9.0,1.0,9.84,1.0,19.9995,0.0,0.0,34.08018923798779,2.302585092994046,3.5576365619588675
